ligne_xlsx;classe;alliance;alliance_brut;auteurs;cd_hab;typologie;code_habref;nom_habref;ancre_cd_hab;ancre_typologie;ancre_code;corine_cd_hab;corine_code;corine_nom;corine_autres;eunis_cd_hab;eunis_code;eunis_nom;eunis_autres;hic_cd_hab;hic_code;hic_nom;cahiers_cd_hab;cahiers_code;cahiers_nom;condition_n2000
96;Polygono arenastri-Poetea annuae;Euphorbion prostratae;Euphorbion prostratae;Rivas Mart. 1976;28413;PVF2;;Euphorbion prostratae;;;;1355;87.2;Zones rudérales;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
98;Sisymbrietea officinalis;Hordeion leporinii;Hordeion leporinii;Braun-Blanq. ex Braun-Blanq. et al. 1947;;;;;508;CORINE_biotopes;87;508;87;Terrains en friche et terrains vagues;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
99;Sisymbrietea officinalis;Sisymbrion officinalis;Sisymbrion officinalis;"Tüxen, W.Lohmeyer et Preising
in Tüxen ex von Rochow 1951";16453;PVF1;66.0.2.0.1;Sisymbrion officinalis;;;;508;87;Terrains en friche et terrains vagues;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
100;Sisymbrietea officinalis;Malvion neglectae;Malvion neglectae;Hejný 1978;16454;PVF1;66.0.2.0.2;Malvion neglectae;;;;508;87;Terrains en friche et terrains vagues;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
101;Sisymbrietea officinalis;Bromo-Hordeion murini;Bromo-Hordeion murini;Hejný 1978;16806;PVF2;;Bromo - Hordeion murini;;;;508;87;Terrains en friche et terrains vagues;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
103;Stellarietea mediae;Scleranthion annui;Scleranthion annui;(Kruseman et Vlieger 1939) G. Sissingh in V. Westhoff et al. 1946;16461;PVF1;68.0.1.0.1;Scleranthion annui;;;;1325;82.3;Culture extensive;;1894;I1.3;Terres arables à monocultures extensives;;;;;;;;
104;Stellarietea mediae;Caucalidion lappulae;Caucalidion lappulae;Tüxen 1950 nom. nud.;16463;PVF1;68.0.2.0.1;Caucalidion lappulae;;;;1325;82.3;Culture extensive;;1894;I1.3;Terres arables à monocultures extensives;;;;;;;;
105;Stellarietea mediae;Diplotaxion erucoidis;Diplotaxion erucoidis;"Braun-Blanq. in Braun-Blanq., Gajewski, 
Wraber & Walas 1936";16465;PVF1;68.0.3.0.1;Diplotaxion erucoidis;;;;501;82;Cultures;;651;I1;Cultures et jardins maraîchers;;;;;;;;
106;Stellarietea mediae;Panico crus-galli-Setarion viridis;Panico crus-galli-Setarion viridis;"G.Sissingh in V.Westh., Dijk, 
Passchier & G.Sissingh 1946";16466;PVF1;68.0.3.0.2;Panico crus-galli-Setarion viridis;;;;501;82;Cultures;;651;I1;Cultures et jardins maraîchers;;;;;;;;
107;Stellarietea mediae;Veronico agrestis-Euphorbion peplus;Veronico agrestis-Euphorbion peplus;"G.Sissingh ex H.Passarge 
1964";16467;PVF1;68.0.3.0.3;Veronico agrestis-Euphorbion peplus;;;;501;82;Cultures;;651;I1;Cultures et jardins maraîchers;;;;;;;;
109;Agropyretea pungentis;Convolvulo arvensis – Agropyrion repentis;Convolvulo arvensis – Agropyrion repentis;Görs 1966;16490;PVF1;2.0.2.0.1;Convolvulo arvensis-Agropyrion repentis;;;;1354;87.1;Terrains en friche;;5852;I1.53;Jachères non inondées avec communautés rudérales annuelles ou vivaces;;;;;;;;
111;Cardaminetea hirsutae;Drabo muralis – Cardaminion hirsutae;Drabo muralis – Cardaminion hirsutae;;16675;PVF1;14.0.1.0.1;Drabo muralis-Cardaminion hirsutae;;;;;;;;1690;E1.6;Pelouses à annuelles subnitrophiles;;;;;;;;
112;Cardaminetea hirsutae;Geranio pusilli – Anthriscion caucalidis;Geranio pusilli – Anthriscion caucalidis;;16676;PVF1;14.0.1.0.2;Geranio pusilli-Anthriscion caucalidis;;;;;;;;1690;E1.6;Pelouses à annuelles subnitrophiles;;;;;;;;
115;Galio aparines-Urticetea dioicae;Aegopodion podagrariae;Aegopodion podagrariae;Tüxen 1967 nom. cons. Propos;16566;PVF1;29.0.1.0.1;Aegopodion podagrariae;;;;4271;37.72;Franges des bords boisés ombragés;;5234;E5.43;Lisières forestières ombragées;;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;(pp si habitat linéaire)
116;Galio aparines-Urticetea dioicae;Geo urbani-Alliarion petiolatae;Geo urbani-Alliarion petiolatae;"W.Lohmeyer & Oberd. ex Görs & 
Th.Müll. 1969";16567;PVF1;29.0.1.0.2;Geo urbani-Alliarion petiolatae;;;;4271;37.72;Franges des bords boisés ombragés;;5234;E5.43;Lisières forestières ombragées;;2835;6430;Mégaphorbiaies hygrophiles d'ourlets planitiaires et des étages montagnard à alpin;;;;(pp si habitat linéaire)
117;Galio aparines-Urticetea dioicae;Arction lappae;Arction lappae;Tüxen 1937;16469;PVF1;7.0.1.0.1;Arction lappae;;;;508;87;Terrains en friche et terrains vagues;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
118;Galio aparines-Urticetea dioicae;Rumicion pseudalpini;Rumicion pseudalpini;"Rübel ex Scharf. 1938 corr. Loidi & Biurrun 
1996";16470;PVF1;7.0.1.0.2;Rumicion pseudalpini;;;;4284;37.88;Communautés alpines à Patience alpine;;5241;E5.58;Communautés alpines à Rumex;;;;;;;;
