ligne_xlsx;classe;alliance;alliance_brut;auteurs;cd_hab;typologie;code_habref;nom_habref;ancre_cd_hab;ancre_typologie;ancre_code;corine_cd_hab;corine_code;corine_nom;corine_autres;eunis_cd_hab;eunis_code;eunis_nom;eunis_autres;hic_cd_hab;hic_code;hic_nom;cahiers_cd_hab;cahiers_code;cahiers_nom;condition_n2000
267;Carpino betuli-Fagetea sylvaticae;Cephalanthero damasonii – Fagion sylvaticae;Cephalanthero damasonii – Fagion sylvaticae;;;;;;4166;CORINE_biotopes;41.16;4166;41.16;Hêtraies sur calcaire;;5530;G1.66;Hêtraies calcicoles médio-européennes;;2815;9150;Hêtraies calcicoles médio-européennes du Cephalanthero-Fagion;;;;
268;Carpino betuli-Fagetea sylvaticae;Chelidonio majoris-Robinion pseudoacaciae;Chelidonio majoris-Robinion pseudoacaciae;;;;;;10077;CORINE_biotopes;83.324;10077;83.324;Plantations de Robiniers;;616;G1;Forêts de feuillus caducifoliés;;;;;;;;
270;Carpino betuli-Fagetea sylvaticae;Luzulo luzuloidis – Fagion sylvaticae;"Luzulo luzuloidis – Fagion sylvaticae ; association : Ilici aquifolii – Fagetum sylvaticae";Lohmeyer & Tüxen in Tüxen 1954;16402;PVF1;57.0.3.3.3;Luzulo luzuloidis-Fagion sylvaticae;;;;9941;41.112;Hêtraies montagnardes à Luzule;41.12;5537;G1.62;Hêtraies acidophiles atlantiques;;2865;9120;Hêtraies acidophiles atlantiques à sous-bois à Ilex et parfois à Taxus (Quercion robori-petraeae ou Ilici-Fagenion);;;;
271;Carpino betuli-Fagetea sylvaticae;Luzulo luzuloidis – Fagion sylvaticae;"Luzulo luzuloidis – Fagion sylvaticae ; association : Luzulo niveae – Fagetum sylvaticae";Lohmeyer & Tüxen in Tüxen 1954;16402;PVF1;57.0.3.3.3;Luzulo luzuloidis-Fagion sylvaticae;;;;9768;41.172;Hêtraies acidiphiles des Pyrénées orientales et des Cévennes;;11833;G1.672;Hêtraies acidophiles des Pyrénées orientales et des Cévennes;;2865;9120;Hêtraies acidophiles atlantiques à sous-bois à Ilex et parfois à Taxus (Quercion robori-petraeae ou Ilici-Fagenion);;;;
272;Carpino betuli-Fagetea sylvaticae;Luzulo luzuloidis – Fagion sylvaticae;"Luzulo luzuloidis – Fagion sylvaticae ; association :  Goodyero repentis – Abietetum albae";Lohmeyer & Tüxen in Tüxen 1954;16402;PVF1;57.0.3.3.3;Luzulo luzuloidis-Fagion sylvaticae;;;;9787;42.113;Sapinières intra-pyrénéennes;;12242;G3.113;Sapinières pyrénéennes;;;;;;;;
273;Carpino betuli-Fagetea sylvaticae;Luzulo luzuloidis – Fagion sylvaticae;Luzulo luzuloidis – Fagion sylvaticae;Lohmeyer & Tüxen in Tüxen 1954;16402;PVF1;57.0.3.3.3;Luzulo luzuloidis-Fagion sylvaticae;;;;9941;41.112;Hêtraies montagnardes à Luzule;42.113|41.12;11832;G1.612;Hêtraies montagnardes médio-européennes à Luzule;G3.113;2865;9120;Hêtraies acidophiles atlantiques à sous-bois à Ilex et parfois à Taxus (Quercion robori-petraeae ou Ilici-Fagenion);;;;
274;Carpino betuli-Fagetea sylvaticae;Goodyero repentis-Abietion albae;Goodyero repentis-Abietion albae;;;;;;9787;CORINE_biotopes;42.113;9787;42.113;Sapinières intra-pyrénéennes;;12242;G3.113;Sapinières pyrénéennes;;;;;;;;
276;Carpino betuli-Fagetea sylvaticae;Populion albae;Populion albae;;16404;PVF1;57.0.4.1.1;Populion albae;;;;4584;44.61;Forêts de Peupliers riveraines et méditerranéennes;;5556;G1.31;Forêts riveraines méditerranéennes à Peupliers;;;;;;;;92A0
277;Carpino betuli-Fagetea sylvaticae;Fraxinion angustifoliae;Fraxinion angustifoliae;;;;;;4487;CORINE_biotopes;44.63;4487;44.63;Bois de Frênes riverains et méditerranéens;;5515;G1.33;Frênaies riveraines méditerranéennes;;;;;;;;
278;Carpino betuli-Fagetea sylvaticae;Alnion incanae;Alnion incanae;Pawlowski in Pawlowski, Sokolowski & Wallisch 1928;16406;PVF1;57.0.4.2.1;Alnion incanae;;;;1389;44.3;Forêt de Frênes et d'Aulnes des fleuves médio-européens;;5528;G1.21;Forêts riveraines à Fraxinus et Alnus, sur sols inondés par les crues mais drainés aux basses eaux;;;;;;;;91E0
279;Carpino betuli-Fagetea sylvaticae;Ulmion minoris;Ulmion minoris;Oberdorfer 1953;;;;;4557;CORINE_biotopes;44.42;4557;44.42;Forêts fluviales médio-européennes résiduelles;;11876;G1.222;Forêts alluviales médio-européennes résiduelles;;;;;;;;91F0
281;Carpino betuli-Fagetea sylvaticae;Fraxino excelsioris-Quercion roboris;Fraxino excelsioris-Quercion roboris;Passarge & Hoffman 1968;16395;PVF1;57.0.3.1.1;Fraxino excelsioris-Quercion roboris;;;;1261;41.2;Chênaies-charmaies;;616;G1;Forêts de feuillus caducifoliés;;;;;;;;
283;Carpino betuli-Fagetea sylvaticae;Tilio platyphylli-Acerion pseudoplatani;Tilio platyphylli-Acerion pseudoplatani;Klika 1955;16401;PVF1;57.0.3.3.2;Tilio platyphylli-Acerion pseudoplatani;;;;4147;41.41;Forêts de ravin à Frêne et Sycomore;;616;G1;Forêts de feuillus caducifoliés;;2819;9180;Forêts de pentes, éboulis ou ravins du Tilio-Acerion;;;;
284;Carpino betuli-Fagetea sylvaticae;Dryopterido affinis-Fraxinion excelsioris;Dryopterido affinis-Fraxinion excelsioris;Vanden Berghen ex R. Boeuf, Bardat, Gauberville, Lalanne, Renaux, J.-M. Royer, Thébaud, Timbal & Seytre in R. Boeuf 2014;;;;;4157;CORINE_biotopes;41.44;4157;41.44;Forêts mixtes pyrénéo-cantabriques de Chênes et d'Ormes;;616;G1;Forêts de feuillus caducifoliés;;2819;9180;Forêts de pentes, éboulis ou ravins du Tilio-Acerion;;;;
285;Carpino betuli-Fagetea sylvaticae;Melico nutantis-Tilion platyphylli;Melico nutantis-Tilion platyphylli;H. Passarge & Ger. Hofm. 1968;;;;;4161;CORINE_biotopes;41.45;4161;41.45;Forêts thermophiles alpiennes et péri-alpiennes mixtes de Tilleuls;;616;G1;Forêts de feuillus caducifoliés;;2819;9180;Forêts de pentes, éboulis ou ravins du Tilio-Acerion;;;;
287;Quercetea pubescentis;Quercion pubescenti-petraeae;Quercion pubescenti-petraeae;Braun-Blanq. 1932;;;;;9850;CORINE_biotopes;41.711;9850;41.711;Bois occidentaux de Quercus pubescens;;5527;G1.71;Chênaies à Quercus pubescens occidentales et communautés apparentées;;;;;;;;
289;Quercetea robori-petraeae;Quercion roboris;Quercion roboris;;16393;PVF1;57.0.2.0.2;Quercion roboris;;;;9877;41.124;Hêtraies acidiphiles pyrénéo-cantabriques;;11847;G1.624;Hêtraies acidophiles pyrénéo-cantabriques;;2865;9120;Hêtraies acidophiles atlantiques à sous-bois à Ilex et parfois à Taxus (Quercion robori-petraeae ou Ilici-Fagenion);;;;
290;Quercetea robori-petraeae;Quercion pyrenaicae;Quercion pyrenaicae;;;;;;4188;CORINE_biotopes;41.55;4188;41.55;Chênaies aquitano-ligériennes sur sols lessivés ou acides;41.65;5586;G1.85;Chênaies aquitano-ligériennes sur sols lessivés ou acides;G1.7;2721;9230;Chênaies galicio-portugaises à Quercus robur et Quercus pyrenaica;;;;pp
291;Quercetea robori-petraeae;Hyperico montani-Quercion petraeae;Hyperico montani-Quercion petraeae;;;;;;4289;CORINE_biotopes;41.12;4289;41.12;Hêtraies atlantiques acidiphiles;;5537;G1.62;Hêtraies acidophiles atlantiques;;;;;;;;
293;Vaccinio-Piceetea;Betulion pubescentis;Betulion pubescentis;;16344;PVF1;74.0.2.0.1;Betulion pubescentis;;;;515;44;Forêts riveraines, forêts et fourrés très humides;;618;G3;Forêts de conifères;G1.5;;;;;;;91D0
294;Vaccinio-Piceetea;Seslerio caeruleae – Pinion uncinatae;Seslerio caeruleae – Pinion uncinatae;;;;;;9800;CORINE_biotopes;42.133;9800;42.133;Sapinières à Rhododendron;42.413|42.424|42.425;12271;G3.133;Sapinières à Rhododendron;G3.313|G3.324|G3.325;2845;9430;Forêts montagnardes et subalpines à Pinus uncinata (* si sur substrat gypseux ou calcaire);;;;pp
